"country","item","element","Unit","Date","Value"
"Uganda","Cassava","Yield","Hg/Ha","1/1/2005 12:00:00 AM",144082.69
"Uganda","Cassava","Yield","Hg/Ha","1/1/2006 12:00:00 AM",129973.61
"Uganda","Cassava","Yield","Hg/Ha","1/1/2007 12:00:00 AM",128834.2
"Uganda","Cassava","Yield","Hg/Ha","1/1/2008 12:00:00 AM",127437.19
"Uganda","Cassava","Yield","Hg/Ha","1/1/2009 12:00:00 AM",126009.73
"Uganda","Cassava","Yield","Hg/Ha","1/1/2010 12:00:00 AM",127277.11
"Uganda","Cassava","Yield","Hg/Ha","1/1/2011 12:00:00 AM",111646.66
"Uganda","Cassava","Yield","Hg/Ha","1/1/2012 12:00:00 AM",115059.81
"Uganda","Cassava","Yield","Hg/Ha","1/1/2013 12:00:00 AM",120183.91
"Uganda","Cassava","Production Quantity","tonnes","1/1/2003 12:00:00 AM",5450000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2004 12:00:00 AM",5500000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2005 12:00:00 AM",5576000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2006 12:00:00 AM",4926000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2007 12:00:00 AM",4973000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2008 12:00:00 AM",5072000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2009 12:00:00 AM",5179000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2010 12:00:00 AM",5282000
"Uganda","Cassava","Production Quantity","tonnes","1/1/2011 12:00:00 AM",4757800
"Uganda","Cassava","Production Quantity","tonnes","1/1/2012 12:00:00 AM",4924560
"Uganda","Cassava","Production Quantity","tonnes","1/1/2013 12:00:00 AM",5228000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2003 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2004 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2005 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2006 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2007 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2008 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2009 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2010 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2011 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2012 12:00:00 AM",3000
"Uganda","Castor oil seed","Area Harvested","Ha","1/1/2013 12:00:00 AM",3000
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2003 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2004 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2005 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2006 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2007 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2008 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2009 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2010 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2011 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2012 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Yield","Hg/Ha","1/1/2013 12:00:00 AM",3333.33
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2003 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2004 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2005 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2006 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2007 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2008 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2009 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2010 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2011 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2012 12:00:00 AM",1000
"Uganda","Castor oil seed","Production Quantity","tonnes","1/1/2013 12:00:00 AM",1000
"Uganda","Castor oil seed","Seed","tonnes","1/1/2003 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2004 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2005 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2006 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2007 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2008 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2009 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2010 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2011 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2012 12:00:00 AM",30
"Uganda","Castor oil seed","Seed","tonnes","1/1/2013 12:00:00 AM",30
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2003 12:00:00 AM",1495000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2004 12:00:00 AM",1549000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2005 12:00:00 AM",1605000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2006 12:00:00 AM",1679000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2007 12:00:00 AM",1725000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2008 12:00:00 AM",1522000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2009 12:00:00 AM",1572000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2010 12:00:00 AM",1653000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2011 12:00:00 AM",1702000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2012 12:00:00 AM",1748000
"Uganda","Cereals (Rice Milled Eqv + (Total)","Area Harvested","Ha","1/1/2013 12:00:00 AM",1637200
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2003 12:00:00 AM",16481.9
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2004 12:00:00 AM",14420.32
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2005 12:00:00 AM",15420.88
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2006 12:00:00 AM",14924.04
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2007 12:00:00 AM",14947.45
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2008 12:00:00 AM",20168.74
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2009 12:00:00 AM",19947.38
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2010 12:00:00 AM",19345.03
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2011 12:00:00 AM",20319.69
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2012 12:00:00 AM",19882.17
"Uganda","Cereals (Rice Milled Eqv + (Total)","Yield","Hg/Ha","1/1/2013 12:00:00 AM",20997.67
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2003 12:00:00 AM",2464044
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2004 12:00:00 AM",2233707
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2005 12:00:00 AM",2475051
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2006 12:00:00 AM",2505747
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2007 12:00:00 AM",2578435
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2008 12:00:00 AM",3069682.62
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2009 12:00:00 AM",3135728.25
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2010 12:00:00 AM",3197733.04
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2011 12:00:00 AM",3458411
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2012 12:00:00 AM",3475404
"Uganda","Cereals (Rice Milled Eqv + (Total)","Production Quantity","tonnes","1/1/2013 12:00:00 AM",3437738
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2003 12:00:00 AM",51370
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2004 12:00:00 AM",53640
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2005 12:00:00 AM",56635
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2006 12:00:00 AM",58445
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2007 12:00:00 AM",54170
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2008 12:00:00 AM",52820
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2009 12:00:00 AM",55445
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2010 12:00:00 AM",57150
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2011 12:00:00 AM",58705
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2012 12:00:00 AM",55436
"Uganda","Cereals (Rice Milled Eqv + (Total)","Seed","tonnes","1/1/2013 12:00:00 AM",55436
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2003 12:00:00 AM",1495000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2004 12:00:00 AM",1549000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2005 12:00:00 AM",1605000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2006 12:00:00 AM",1679000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2007 12:00:00 AM",1725000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2008 12:00:00 AM",1522000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2009 12:00:00 AM",1572000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2010 12:00:00 AM",1653000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2011 12:00:00 AM",1702000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2012 12:00:00 AM",1748000
"Uganda","Cereals,Total + (Total)","Area Harvested","Ha","1/1/2013 12:00:00 AM",1637200
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2003 12:00:00 AM",16775.92
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2004 12:00:00 AM",14680.44
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2005 12:00:00 AM",15738.32
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2006 12:00:00 AM",15229.48
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2007 12:00:00 AM",15260.18
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2008 12:00:00 AM",20557.88
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2009 12:00:00 AM",20383.26
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2010 12:00:00 AM",19784.42
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2011 12:00:00 AM",20775.56
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2012 12:00:00 AM",20286.04
"Uganda","Cereals,Total + (Total)","Yield","Hg/Ha","1/1/2013 12:00:00 AM",21432.93
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2003 12:00:00 AM",2508000
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2004 12:00:00 AM",2274000
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2005 12:00:00 AM",2526000
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2006 12:00:00 AM",2557029
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2007 12:00:00 AM",2632381
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2008 12:00:00 AM",3128909
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2009 12:00:00 AM",3204248
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2010 12:00:00 AM",3270364
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2011 12:00:00 AM",3536000
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2012 12:00:00 AM",3546000
"Uganda","Cereals,Total + (Total)","Production Quantity","tonnes","1/1/2013 12:00:00 AM",3509000
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2003 12:00:00 AM",51370
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2004 12:00:00 AM",53640
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2005 12:00:00 AM",56635
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2006 12:00:00 AM",58445
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2007 12:00:00 AM",54170
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2008 12:00:00 AM",52820
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2009 12:00:00 AM",55445
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2010 12:00:00 AM",57150
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2011 12:00:00 AM",58705
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2012 12:00:00 AM",55436
"Uganda","Cereals,Total + (Total)","Seed","tonnes","1/1/2013 12:00:00 AM",55436
"Uganda","Chick peas","Area Harvested","Ha","1/1/2003 12:00:00 AM",6937
"Uganda","Chick peas","Area Harvested","Ha","1/1/2004 12:00:00 AM",7176
"Uganda","Chick peas","Area Harvested","Ha","1/1/2005 12:00:00 AM",7306
"Uganda","Chick peas","Area Harvested","Ha","1/1/2006 12:00:00 AM",7473
"Uganda","Chick peas","Area Harvested","Ha","1/1/2007 12:00:00 AM",7640
"Uganda","Chick peas","Area Harvested","Ha","1/1/2008 12:00:00 AM",7850
"Uganda","Chick peas","Area Harvested","Ha","1/1/2009 12:00:00 AM",8103
"Uganda","Chick peas","Area Harvested","Ha","1/1/2010 12:00:00 AM",8200
"Uganda","Chick peas","Area Harvested","Ha","1/1/2011 12:00:00 AM",8015
"Uganda","Chick peas","Area Harvested","Ha","1/1/2012 12:00:00 AM",8000
"Uganda","Chick peas","Area Harvested","Ha","1/1/2013 12:00:00 AM",8000
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2003 12:00:00 AM",5640.77
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2004 12:00:00 AM",5574.14
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2005 12:00:00 AM",5543.39
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2006 12:00:00 AM",5486.42
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2007 12:00:00 AM",5497.38
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2008 12:00:00 AM",5477.71
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2009 12:00:00 AM",5430.09
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2010 12:00:00 AM",5487.8
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2011 12:00:00 AM",5726.76
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2012 12:00:00 AM",6250
"Uganda","Chick peas","Yield","Hg/Ha","1/1/2013 12:00:00 AM",6250
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2003 12:00:00 AM",3913
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2004 12:00:00 AM",4000
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2005 12:00:00 AM",4050
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2006 12:00:00 AM",4100
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2007 12:00:00 AM",4200
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2008 12:00:00 AM",4300
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2009 12:00:00 AM",4400
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2010 12:00:00 AM",4500
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2011 12:00:00 AM",4590
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2012 12:00:00 AM",5000
"Uganda","Chick peas","Production Quantity","tonnes","1/1/2013 12:00:00 AM",5000
"Uganda","Chick peas","Seed","tonnes","1/1/2003 12:00:00 AM",287.04
"Uganda","Chick peas","Seed","tonnes","1/1/2004 12:00:00 AM",292.24
"Uganda","Chick peas","Seed","tonnes","1/1/2005 12:00:00 AM",298.92
"Uganda","Chick peas","Seed","tonnes","1/1/2006 12:00:00 AM",305.6
"Uganda","Chick peas","Seed","tonnes","1/1/2007 12:00:00 AM",314
"Uganda","Chick peas","Seed","tonnes","1/1/2008 12:00:00 AM",324.12
"Uganda","Chick peas","Seed","tonnes","1/1/2009 12:00:00 AM",328
"Uganda","Chick peas","Seed","tonnes","1/1/2010 12:00:00 AM",320.6
"Uganda","Chick peas","Seed","tonnes","1/1/2011 12:00:00 AM",320
"Uganda","Chick peas","Seed","tonnes","1/1/2012 12:00:00 AM",320
"Uganda","Chick peas","Seed","tonnes","1/1/2013 12:00:00 AM",320
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2003 12:00:00 AM",4726
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2004 12:00:00 AM",4758
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2005 12:00:00 AM",4157
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2006 12:00:00 AM",4740
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2007 12:00:00 AM",4200
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2008 12:00:00 AM",4200
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2009 12:00:00 AM",3659
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2010 12:00:00 AM",3013
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2011 12:00:00 AM",2269
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2012 12:00:00 AM",2600
"Uganda","Chillies and peppers, dry","Area Harvested","Ha","1/1/2013 12:00:00 AM",2600
"Uganda","Chillies and peppers, dry","Yield","Hg/Ha","1/1/2003 12:00:00 AM",11138.38
"Uganda","Chillies and peppers, dry","Yield","Hg/Ha","1/1/2004 12:00:00 AM",12274.06
